| position | driver | current points | theoretical max points | can win |
| -------- | ------ | -------------- | ---------------------- | ------- |
| 1        | LEC    | 86             | 570                    | Yes     |
| 2        | VER    | 59             | 543                    | Yes     |
| 3        | PER    | 54             | 538                    | Yes     |
| 4        | RUS    | 49             | 533                    | Yes     |
| 5        | SAI    | 38             | 522                    | Yes     |
| 6        | NOR    | 35             | 519                    | Yes     |
| 7        | HAM    | 28             | 512                    | Yes     |
| 8        | BOT    | 24             | 508                    | Yes     |
| 9        | OCO    | 20             | 504                    | Yes     |
| 10       | MAG    | 15             | 499                    | Yes     |
| 11       | RIC    | 11             | 495                    | Yes     |
| 12       | TSU    | 10             | 494                    | Yes     |
| 13       | GAS    | 6              | 490                    | Yes     |
| 14       | VET    | 4              | 488                    | Yes     |
| 15       | ALO    | 2              | 486                    | Yes     |
| 16       | ZHO    | 1              | 485                    | Yes     |
| 17       | ALB    | 1              | 485                    | Yes     |
| 18       | STR    | 1              | 485                    | Yes     |
| 19       | MSC    | 0              | 484                    | Yes     |
| 20       | HUL    | 0              | 484                    | Yes     |
| 21       | LAT    | 0              | 484                    | Yes     |
|          |        |                |                        |         |